FM_Codigo_Ativo;FM_Setor_Irrigacao;Categoria_Revit;Componente;Sigla;Endereco_IoT;Fabricante;Modelo
IRR-BMB-GER-01;GERAL;Equipamento Mecânico;Conjunto Motobomba 10CV;BMB;;Schneider;ME-23100V
IRR-CTR-GER-01;GERAL;Equipamento Elétrico;Controlador Principal;CTR;;Rain Bird;ESP-LXD
IRR-SEN-GER-01;GERAL;Dispositivo de Dados;Sensor de Chuva;SEN;;Rain Bird;N/A
IRR-CTR-FLO-01;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-CTR-FLO-02;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-CTR-FLO-03;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-CTR-FLO-04;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-CTR-FLO-05;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-CTR-FLO-06;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-CTR-FLO-07;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-CTR-FLO-08;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-CTR-FLO-09;FLOREIRAS;Equipamento Elétrico;Controlador Secundário;CTR;;Hunter;Node 100
IRR-DEC-GER-01;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-02;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-03;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-04;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-05;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-06;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-07;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-08;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-09;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-10;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-11;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-12;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-13;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-14;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-15;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-16;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-17;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-18;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-19;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-20;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-21;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-22;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-23;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-24;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-25;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-26;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-27;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-28;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-29;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-30;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-31;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
IRR-DEC-GER-32;GERAL;Dispositivo de Dados;Decodificador FD101;DEC;;Rain Bird;FD101
